CP;Département;Commune;AOC/AOP;IDA
01002;AIN;Abergement-de-Varey;Bugey;1597
01002;AIN;Abergement-de-Varey;Bugey Cerdon;1598
01002;AIN;Abergement-de-Varey;Roussette du Bugey;1884
01004;AIN;Ambérieu-en-Bugey;Bugey;1597
01004;AIN;Ambérieu-en-Bugey;Roussette du Bugey;1884
01006;AIN;Ambléon;Bugey;1597
01006;AIN;Ambléon;Roussette du Bugey;1884
01009;AIN;Andert-et-Condon;Bugey;1597
01009;AIN;Andert-et-Condon;Roussette du Bugey;1884
01010;AIN;Anglefort;Bugey;1597
01010;AIN;Anglefort;Roussette du Bugey;1884
01015;AIN;Arboys en Bugey;Bugey;1597
01015;AIN;Arboys en Bugey;Roussette du Bugey;1884
01017;AIN;Argis;Bugey;1597
01017;AIN;Argis;Roussette du Bugey;1884
01022;AIN;Artemare;Bugey;1597
01022;AIN;Artemare;Roussette du Bugey;1884
01034;AIN;Belley;Bugey;1597
01034;AIN;Belley;Roussette du Bugey;1884
01036;AIN;Belmont-Luthézieu;Bugey;1597
01036;AIN;Belmont-Luthézieu;Roussette du Bugey;1884
01037;AIN;Bénonces;Bugey;1597
01037;AIN;Bénonces;Roussette du Bugey;1884
01039;AIN;Béon;Bugey;1597
01039;AIN;Béon;Roussette du Bugey;1884
01245;AIN;Bohas-Meyriat-Rignat;Bugey;1597
01245;AIN;Bohas-Meyriat-Rignat;Roussette du Bugey;1884
01051;AIN;Bolozon;Bugey;1597
01051;AIN;Bolozon;Roussette du Bugey;1884
01056;AIN;Boyeux-Saint-Jérôme;Bugey;1597
01056;AIN;Boyeux-Saint-Jérôme;Bugey Cerdon;1598
01056;AIN;Boyeux-Saint-Jérôme;Roussette du Bugey;1884
01061;AIN;Brens;Bugey;1597
01061;AIN;Brens;Roussette du Bugey;1884
01064;AIN;Briord;Bugey;1597
01064;AIN;Briord;Bugey Montagnieu;1600
01064;AIN;Briord;Roussette du Bugey;1884
01064;AIN;Briord;Roussette du Bugey Montagnieu;1402
01068;AIN;Cerdon;Bugey;1597
01068;AIN;Cerdon;Bugey Cerdon;1598
01068;AIN;Cerdon;Roussette du Bugey;1884
01072;AIN;Ceyzériat;Bugey;1597
01072;AIN;Ceyzériat;Roussette du Bugey;1884
01073;AIN;Ceyzérieu;Bugey;1597
01073;AIN;Ceyzérieu;Roussette du Bugey;1884
01082;AIN;Chanay;Bugey;1597
01082;AIN;Chanay;Roussette du Bugey;1884
01097;AIN;Chavornay;Bugey;1597
01097;AIN;Chavornay;Roussette du Bugey;1884
01098;AIN;Chazey-Bons;Bugey;1597
01098;AIN;Chazey-Bons;Roussette du Bugey;1884
01100;AIN;Cheignieu-la-Balme;Bugey;1597
01100;AIN;Cheignieu-la-Balme;Bugey Manicle;1599
01100;AIN;Cheignieu-la-Balme;Roussette du Bugey;1884
01116;AIN;Contrevoz;Bugey;1597
01116;AIN;Contrevoz;Roussette du Bugey;1884
01117;AIN;Conzieu;Bugey;1597
01117;AIN;Conzieu;Roussette du Bugey;1884
01118;AIN;Corbonod;Seyssel;1146
01133;AIN;Cressin-Rochefort;Bugey;1597
01133;AIN;Cressin-Rochefort;Roussette du Bugey;1884
01138;AIN;Culoz;Bugey;1597
01138;AIN;Culoz;Roussette du Bugey;1884
01141;AIN;Cuzieu;Bugey;1597
01141;AIN;Cuzieu;Roussette du Bugey;1884
01162;AIN;Flaxieu;Bugey;1597
01162;AIN;Flaxieu;Roussette du Bugey;1884
01182;AIN;Groslée;Bugey;1597
01182;AIN;Groslée;Roussette du Bugey;1884
01338;AIN;Groslée-Saint-Benoit;Bugey;1597
01338;AIN;Groslée-Saint-Benoit;Roussette du Bugey;1884
01193;AIN;Izieu;Bugey;1597
01193;AIN;Izieu;Roussette du Bugey;1884
01197;AIN;Journans;Bugey;1597
01197;AIN;Journans;Roussette du Bugey;1884
01199;AIN;Jujurieux;Bugey;1597
01199;AIN;Jujurieux;Bugey Cerdon;1598
01199;AIN;Jujurieux;Roussette du Bugey;1884
01202;AIN;Lagnieu;Bugey;1597
01202;AIN;Lagnieu;Roussette du Bugey;1884
