denom;Région
Ajaccio,Vin de Corse ou Corse;Provence
Alsace,Alsace grand cru Mambourg,Crémant d’Alsace;Alsace
Alsace,Alsace grand cru Schlossberg,Crémant d’Alsace;Alsace
Alsace,Alsace suivi d'un nom de lieu-dit,Crémant d’Alsace;Alsace
Alsace,Crémant d’Alsace;Alsace
Anjou;Loire
Anjou,Anjou Villages,Cabernet d'Anjou,Coteaux du Layon,Coteaux du Layon Beaulieu-sur-Layon ou Beaulieu,Crémant de Loire,Rosé d'Anjou,Rosé de Loire;Loire
Anjou,Anjou Villages,Cabernet d'Anjou,Coteaux du Layon,Coteaux du Layon Faye-d'Anjou ou Faye,Crémant de Loire,Rosé d'Anjou,Rosé de Loire;Loire
Anjou,Anjou Villages,Cabernet d'Anjou,Coteaux du Layon,Coteaux du Layon Rochefort-sur-Loire ou Rochefort,Coteaux du Layon premier cru Chaume,Crémant de Loire,Rosé d'Anjou,Rosé de Loire;Loire
Anjou,Anjou Villages,Cabernet d'Anjou,Coteaux du Layon,Coteaux du Layon Saint-Aubin-de-Luigné ou Saint-Aubin,Crémant de Loire,Rosé d'Anjou,Rosé de Loire;Loire
Anjou,Anjou Villages,Cabernet d'Anjou,Crémant de Loire,Rosé d'Anjou,Rosé de Loire;Loire
Anjou,Cabernet d'Anjou,Coteaux de Saumur,Crémant de Loire,Rosé d'Anjou,Rosé de Loire,Saumur;Loire
Anjou,Cabernet d'Anjou,Crémant de Loire,Rosé d'Anjou,Rosé de Loire;Loire
Anjou,Cabernet d'Anjou,Crémant de Loire,Rosé d'Anjou,Rosé de Loire,Saumur;Loire
Arbois,Arbois Pupillin,Crémant du Jura,Côtes du Jura,Macvin du Jura;Jura
Arbois,Crémant du Jura,Côtes du Jura,Macvin du Jura;Jura
Bandol;Provence
Banyuls,Banyuls grand cru,Collioure,Grand Roussillon,Languedoc,Muscat de Rivesaltes;Languedoc
Barsac,Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Sauternes;Bordeaux
Beaujolais,Beaujolais Beaujeu,Beaujolais Villages,Crémant de Bourgogne;Beaujolais
Beaujolais,Beaujolais La Chapelle-de-Guinchay,Beaujolais Villages,Crémant de Bourgogne;Beaujolais
Beaujolais,Beaujolais Lantignié,Beaujolais Villages,Crémant de Bourgogne;Beaujolais
Beaujolais,Beaujolais Le Perréon,Beaujolais Villages,Crémant de Bourgogne;Beaujolais
Beaujolais,Beaujolais Odenas,Beaujolais Villages,Brouilly,Crémant de Bourgogne;Beaujolais
Beaujolais,Beaujolais Quincié-en-Beaujolais,Beaujolais Villages,Brouilly,Crémant de Bourgogne;Beaujolais
