id;denom
aire_parcellaire.1;Côtes du Rhône
aire_parcellaire.2;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Saint-Emilion,Saint-Emilion grand cru
aire_parcellaire.3;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Montagne-Saint-Emilion
aire_parcellaire.4;Bergerac,Côtes de Bergerac,Monbazillac
aire_parcellaire.5;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux
aire_parcellaire.6;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Lussac-Saint-Emilion
aire_parcellaire.7;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Haut-Médoc,Médoc,Saint-Estèphe
aire_parcellaire.8;Bergerac,Côtes de Bergerac,Monbazillac
aire_parcellaire.9;Buzet
aire_parcellaire.10;Bergerac,Côtes de Bergerac
aire_parcellaire.11;Côtes du Rhône
aire_parcellaire.12;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Entre-deux-Mers
aire_parcellaire.13;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Médoc
aire_parcellaire.14;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Entre-deux-Mers
aire_parcellaire.15;Côtes du Rhône
aire_parcellaire.16;Côtes du Roussillon,Côtes du Roussillon Villages,Languedoc
aire_parcellaire.17;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Entre-deux-Mers
aire_parcellaire.18;Grand Roussillon,Muscat de Rivesaltes,Rivesaltes
aire_parcellaire.19;Buzet
aire_parcellaire.20;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Haut-Médoc,Médoc,Saint-Julien
aire_parcellaire.21;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Saint-Emilion,Saint-Emilion grand cru
aire_parcellaire.22;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Haut-Médoc,Médoc
aire_parcellaire.23;Bordeaux,Bordeaux Haut-Benauge,Bordeaux supérieur,Crémant de Bordeaux,Entre-deux-Mers,Entre-deux-Mers Haut-Benauge
aire_parcellaire.24;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Entre-deux-Mers
aire_parcellaire.25;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux
aire_parcellaire.26;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Entre-deux-Mers
aire_parcellaire.27;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Graves,Graves supérieures
aire_parcellaire.28;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Haut-Médoc,Médoc
aire_parcellaire.29;Bordeaux,Bordeaux Haut-Benauge,Bordeaux supérieur,Crémant de Bordeaux,Entre-deux-Mers,Entre-deux-Mers Haut-Benauge
aire_parcellaire.30;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux
aire_parcellaire.31;Buzet
aire_parcellaire.32;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Entre-deux-Mers
aire_parcellaire.33;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Côtes de Bourg, Bourg et Bourgeais
aire_parcellaire.34;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Haut-Médoc,Médoc
aire_parcellaire.35;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux
aire_parcellaire.36;Bergerac,Côtes de Bergerac
aire_parcellaire.37;Buzet
aire_parcellaire.38;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux
aire_parcellaire.39;Bordeaux,Bordeaux Haut-Benauge,Bordeaux supérieur,Crémant de Bordeaux,Entre-deux-Mers,Entre-deux-Mers Haut-Benauge
aire_parcellaire.40;Coteaux d'Aix-en-Provence
aire_parcellaire.41;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Haut-Médoc,Médoc,Pauillac
aire_parcellaire.42;Côtes du Rhône
aire_parcellaire.43;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Côtes de Bordeaux,Côtes de Bordeaux Castillon
aire_parcellaire.44;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux
aire_parcellaire.45;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Entre-deux-Mers
aire_parcellaire.46;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Côtes de Bordeaux,Côtes de Bordeaux Castillon
aire_parcellaire.47;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux
aire_parcellaire.48;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux
aire_parcellaire.49;Côtes du Rhône
aire_parcellaire.50;Côtes de Duras
aire_parcellaire.51;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux
aire_parcellaire.52;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux
aire_parcellaire.53;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Saint-Emilion,Saint-Emilion grand cru
aire_parcellaire.54;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Côtes de Bourg, Bourg et Bourgeais
aire_parcellaire.55;Bordeaux,Bordeaux Haut-Benauge,Bordeaux supérieur,Crémant de Bordeaux,Entre-deux-Mers,Entre-deux-Mers Haut-Benauge
aire_parcellaire.56;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Entre-deux-Mers
aire_parcellaire.57;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Haut-Médoc,Médoc
aire_parcellaire.58;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux
aire_parcellaire.59;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Médoc
aire_parcellaire.60;Barsac,Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Sauternes
aire_parcellaire.61;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Saint-Emilion,Saint-Emilion grand cru
aire_parcellaire.62;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux
aire_parcellaire.63;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Haut-Médoc,Médoc,Pauillac
aire_parcellaire.64;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Médoc
aire_parcellaire.65;Côtes du Rhône
aire_parcellaire.66;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Entre-deux-Mers
aire_parcellaire.67;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Médoc
aire_parcellaire.68;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Entre-deux-Mers
aire_parcellaire.69;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Médoc
aire_parcellaire.70;Ajaccio,Vin de Corse ou Corse
aire_parcellaire.71;Bordeaux,Bordeaux supérieur,Cadillac,Crémant de Bordeaux,Côtes de Bordeaux,Côtes de Bordeaux Cadillac,Premières Côtes de Bordeaux
aire_parcellaire.72;Côtes du Marmandais
aire_parcellaire.73;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Lalande-de-Pomerol
aire_parcellaire.74;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Entre-deux-Mers
aire_parcellaire.75;Bordeaux,Bordeaux supérieur,Crémant de Bordeaux,Entre-deux-Mers
