id;Région
aire_parcellaire.1;Rhône
aire_parcellaire.2;Bordeaux
aire_parcellaire.3;Bordeaux
aire_parcellaire.4;Sud-Ouest
aire_parcellaire.5;Bordeaux
aire_parcellaire.6;Bordeaux
aire_parcellaire.7;Bordeaux
aire_parcellaire.8;Sud-Ouest
aire_parcellaire.9;Sud-Ouest
aire_parcellaire.10;Sud-Ouest
aire_parcellaire.11;Rhône
aire_parcellaire.12;Bordeaux
aire_parcellaire.13;Bordeaux
aire_parcellaire.14;Bordeaux
aire_parcellaire.15;Rhône
aire_parcellaire.16;Languedoc
aire_parcellaire.17;Bordeaux
aire_parcellaire.18;Languedoc
aire_parcellaire.19;Sud-Ouest
aire_parcellaire.20;Bordeaux
aire_parcellaire.21;Bordeaux
aire_parcellaire.22;Bordeaux
aire_parcellaire.23;Bordeaux
aire_parcellaire.24;Bordeaux
aire_parcellaire.25;Bordeaux
aire_parcellaire.26;Bordeaux
aire_parcellaire.27;Bordeaux
aire_parcellaire.28;Bordeaux
aire_parcellaire.29;Bordeaux
aire_parcellaire.30;Bordeaux
aire_parcellaire.31;Sud-Ouest
aire_parcellaire.32;Bordeaux
aire_parcellaire.33;Bordeaux
aire_parcellaire.34;Bordeaux
aire_parcellaire.35;Bordeaux
aire_parcellaire.36;Sud-Ouest
aire_parcellaire.37;Sud-Ouest
aire_parcellaire.38;Bordeaux
aire_parcellaire.39;Bordeaux
aire_parcellaire.40;Provence
aire_parcellaire.41;Bordeaux
aire_parcellaire.42;Rhône
aire_parcellaire.43;Bordeaux
aire_parcellaire.44;Bordeaux
aire_parcellaire.45;Bordeaux
aire_parcellaire.46;Bordeaux
aire_parcellaire.47;Bordeaux
aire_parcellaire.48;Bordeaux
aire_parcellaire.49;Rhône
aire_parcellaire.50;Sud-Ouest
aire_parcellaire.51;Bordeaux
aire_parcellaire.52;Bordeaux
aire_parcellaire.53;Bordeaux
aire_parcellaire.54;Bordeaux
aire_parcellaire.55;Bordeaux
aire_parcellaire.56;Bordeaux
aire_parcellaire.57;Bordeaux
aire_parcellaire.58;Bordeaux
aire_parcellaire.59;Bordeaux
aire_parcellaire.60;Bordeaux
aire_parcellaire.61;Bordeaux
aire_parcellaire.62;Bordeaux
aire_parcellaire.63;Bordeaux
aire_parcellaire.64;Bordeaux
aire_parcellaire.65;Rhône
aire_parcellaire.66;Bordeaux
aire_parcellaire.67;Bordeaux
aire_parcellaire.68;Bordeaux
aire_parcellaire.69;Bordeaux
aire_parcellaire.70;Provence
aire_parcellaire.71;Bordeaux
aire_parcellaire.72;Sud-Ouest
aire_parcellaire.73;Bordeaux
aire_parcellaire.74;Bordeaux
aire_parcellaire.75;Bordeaux
aire_parcellaire.76;Bordeaux
aire_parcellaire.77;Bordeaux
aire_parcellaire.78;Bordeaux
aire_parcellaire.79;Bordeaux
aire_parcellaire.80;Bordeaux
aire_parcellaire.81;Rhône
aire_parcellaire.82;Bordeaux
aire_parcellaire.83;Bordeaux
aire_parcellaire.84;Sud-Ouest
aire_parcellaire.85;Bordeaux
aire_parcellaire.86;Provence
aire_parcellaire.87;Provence
aire_parcellaire.88;Bordeaux
aire_parcellaire.89;Bordeaux
aire_parcellaire.90;Sud-Ouest
aire_parcellaire.91;Bordeaux
aire_parcellaire.92;Sud-Ouest
